
==============================
Topic Block Report: Telejornal_TVI_Jan_6
==============================

Total segments after smoothing: 266
Total frames: 704

Segments:
- Politics | frames 7–8 (2 frames)
- Politics | frames 20–21 (2 frames)
- Politics | frames 25–26 (2 frames)
- Politics | frames 54–56 (3 frames)
- Politics | frames 63–64 (2 frames)
- Politics | frames 67–68 (2 frames)
- Justice/Crime | frames 69–70 (2 frames)
- Politics | frames 88–91 (4 frames)
- Health | frames 93–94 (2 frames)
- Politics | frames 103–104 (2 frames)
- Politics | frames 118–121 (4 frames)
- Accidents | frames 124–125 (2 frames)
- Politics | frames 135–137 (3 frames)
- Politics | frames 148–149 (2 frames)
- Politics | frames 178–179 (2 frames)
- Health | frames 194–195 (2 frames)
- Justice/Crime | frames 218–219 (2 frames)
- Politics | frames 253–255 (3 frames)
- Justice/Crime | frames 258–259 (2 frames)
- Other | frames 280–287 (8 frames)
- Politics | frames 303–304 (2 frames)
- Other | frames 330–335 (6 frames)
- Health | frames 341–342 (2 frames)
- Politics | frames 343–344 (2 frames)
- Justice/Crime | frames 365–366 (2 frames)
- International | frames 368–369 (2 frames)
- Politics | frames 370–371 (2 frames)
- Health | frames 377–378 (2 frames)
- Other | frames 380–383 (4 frames)
- Politics | frames 403–404 (2 frames)
- Politics | frames 419–420 (2 frames)
- International | frames 425–426 (2 frames)
- Politics | frames 434–435 (2 frames)
- Politics | frames 449–450 (2 frames)
- Justice/Crime | frames 454–455 (2 frames)
- International | frames 463–464 (2 frames)
- Politics | frames 500–501 (2 frames)
- Justice/Crime | frames 504–505 (2 frames)
- Politics | frames 509–510 (2 frames)
- Politics | frames 522–523 (2 frames)
- Justice/Crime | frames 540–541 (2 frames)
- Justice/Crime | frames 546–547 (2 frames)
- International | frames 550–551 (2 frames)
- Politics | frames 583–584 (2 frames)
- Politics | frames 591–592 (2 frames)
- Politics | frames 616–620 (5 frames)
- Politics | frames 624–626 (3 frames)
- Justice/Crime | frames 633–634 (2 frames)
- Other | frames 693–696 (4 frames)
- Politics | frames 697–698 (2 frames)
- Politics | frames 710–711 (2 frames)
- Weather | frames 714–715 (2 frames)
- Other | frames 719–722 (4 frames)
- Justice/Crime | frames 741–744 (4 frames)
- Justice/Crime | frames 750–753 (4 frames)
- Justice/Crime | frames 765–766 (2 frames)
- Politics | frames 784–785 (2 frames)
- Politics | frames 796–799 (4 frames)
- Politics | frames 810–811 (2 frames)
- Justice/Crime | frames 832–833 (2 frames)
- Politics | frames 850–851 (2 frames)
- Other | frames 860–863 (4 frames)
- Politics | frames 872–875 (4 frames)
- Politics | frames 878–880 (3 frames)
- Other | frames 885–888 (4 frames)
- Justice/Crime | frames 893–897 (5 frames)
- Other | frames 918–921 (4 frames)
- Justice/Crime | frames 922–923 (2 frames)
- Politics | frames 933–935 (3 frames)
- Politics | frames 944–945 (2 frames)
- Justice/Crime | frames 949–950 (2 frames)
- Politics | frames 960–962 (3 frames)
- Politics | frames 993–994 (2 frames)
- Politics | frames 1003–1004 (2 frames)
- Politics | frames 1010–1011 (2 frames)
- Justice/Crime | frames 1039–1040 (2 frames)
- Politics | frames 1044–1045 (2 frames)
- Weather | frames 1047–1048 (2 frames)
- Politics | frames 1050–1051 (2 frames)
- International | frames 1058–1059 (2 frames)
- Politics | frames 1061–1062 (2 frames)
- Health | frames 1108–1109 (2 frames)
- Politics | frames 1136–1137 (2 frames)
- Health | frames 1142–1143 (2 frames)
- Health | frames 1165–1167 (3 frames)
- Other | frames 1168–1172 (5 frames)
- Other | frames 1188–1193 (6 frames)
- Justice/Crime | frames 1194–1197 (4 frames)
- Politics | frames 1222–1223 (2 frames)
- Politics | frames 1236–1237 (2 frames)
- Other | frames 1251–1255 (5 frames)
- Justice/Crime | frames 1281–1282 (2 frames)
- Health | frames 1322–1323 (2 frames)
- Politics | frames 1344–1345 (2 frames)
- Politics | frames 1363–1364 (2 frames)
- Justice/Crime | frames 1372–1373 (2 frames)
- Politics | frames 1403–1404 (2 frames)
- Politics | frames 1409–1411 (3 frames)
- Justice/Crime | frames 1413–1415 (3 frames)
- Politics | frames 1417–1419 (3 frames)
- Politics | frames 1429–1430 (2 frames)
- Politics | frames 1439–1444 (6 frames)
- Justice/Crime | frames 1448–1449 (2 frames)
- Politics | frames 1485–1486 (2 frames)
- Politics | frames 1493–1494 (2 frames)
- Politics | frames 1504–1505 (2 frames)
- Politics | frames 1518–1520 (3 frames)
- Politics | frames 1531–1532 (2 frames)
- Politics | frames 1536–1537 (2 frames)
- Politics | frames 1544–1545 (2 frames)
- Justice/Crime | frames 1556–1557 (2 frames)
- Politics | frames 1559–1560 (2 frames)
- Health | frames 1573–1574 (2 frames)
- Health | frames 1595–1596 (2 frames)
- Justice/Crime | frames 1597–1598 (2 frames)
- Politics | frames 1603–1604 (2 frames)
- Politics | frames 1611–1613 (3 frames)
- Justice/Crime | frames 1618–1619 (2 frames)
- Health | frames 1621–1622 (2 frames)
- Politics | frames 1641–1642 (2 frames)
- Politics | frames 1646–1649 (4 frames)
- Accidents | frames 1657–1658 (2 frames)
- Health | frames 1662–1663 (2 frames)
- Politics | frames 1669–1670 (2 frames)
- International | frames 1686–1687 (2 frames)
- Politics | frames 1702–1703 (2 frames)
- Other | frames 1713–1717 (5 frames)
- Politics | frames 1735–1737 (3 frames)
- Health | frames 1783–1784 (2 frames)
- Politics | frames 1786–1787 (2 frames)
- Justice/Crime | frames 1795–1796 (2 frames)
- Politics | frames 1817–1818 (2 frames)
- Justice/Crime | frames 1827–1828 (2 frames)
- Politics | frames 1847–1849 (3 frames)
- Health | frames 1850–1851 (2 frames)
- Politics | frames 1854–1855 (2 frames)
- Politics | frames 1857–1858 (2 frames)
- Justice/Crime | frames 1865–1866 (2 frames)
- Politics | frames 1883–1884 (2 frames)
- Justice/Crime | frames 1899–1900 (2 frames)
- Politics | frames 1916–1917 (2 frames)
- International | frames 1936–1937 (2 frames)
- Politics | frames 1963–1964 (2 frames)
- Politics | frames 1989–1992 (4 frames)
- Other | frames 1997–2001 (5 frames)
- Politics | frames 2048–2050 (3 frames)
- Politics | frames 2059–2061 (3 frames)
- Politics | frames 2089–2090 (2 frames)
- Politics | frames 2115–2116 (2 frames)
- Politics | frames 2127–2130 (4 frames)
- Other | frames 2147–2151 (5 frames)
- Other | frames 2159–2164 (6 frames)
- International | frames 2174–2177 (4 frames)
- Politics | frames 2183–2185 (3 frames)
- Politics | frames 2192–2193 (2 frames)
- Politics | frames 2218–2220 (3 frames)
- Other | frames 2232–2236 (5 frames)
- International | frames 2260–2261 (2 frames)
- Politics | frames 2267–2268 (2 frames)
- Politics | frames 2270–2272 (3 frames)
- Health | frames 2284–2285 (2 frames)
- Other | frames 2288–2291 (4 frames)
- Politics | frames 2292–2293 (2 frames)
- Other | frames 2297–2300 (4 frames)
- Politics | frames 2339–2340 (2 frames)
- Politics | frames 2346–2347 (2 frames)
- Politics | frames 2351–2354 (4 frames)
- Health | frames 2359–2360 (2 frames)
- Justice/Crime | frames 2370–2372 (3 frames)
- Politics | frames 2385–2386 (2 frames)
- Politics | frames 2433–2434 (2 frames)
- International | frames 2458–2459 (2 frames)
- Justice/Crime | frames 2499–2500 (2 frames)
- Politics | frames 2508–2509 (2 frames)
- Politics | frames 2517–2518 (2 frames)
- Politics | frames 2526–2528 (3 frames)
- Politics | frames 2531–2532 (2 frames)
- Justice/Crime | frames 2540–2541 (2 frames)
- Politics | frames 2544–2546 (3 frames)
- Politics | frames 2548–2549 (2 frames)
- Politics | frames 2551–2553 (3 frames)
- Justice/Crime | frames 2556–2557 (2 frames)
- Politics | frames 2570–2571 (2 frames)
- Other | frames 2590–2593 (4 frames)
- Politics | frames 2599–2601 (3 frames)
- Accidents | frames 2606–2607 (2 frames)
- Politics | frames 2658–2661 (4 frames)
- Other | frames 2681–2685 (5 frames)
- Politics | frames 2698–2699 (2 frames)
- Other | frames 2713–2718 (6 frames)
- Politics | frames 2725–2726 (2 frames)
- Justice/Crime | frames 2727–2728 (2 frames)
- Politics | frames 2762–2764 (3 frames)
- Politics | frames 2778–2779 (2 frames)
- Politics | frames 2794–2795 (2 frames)
- Politics | frames 2807–2808 (2 frames)
- Other | frames 2825–2828 (4 frames)
- Politics | frames 2832–2833 (2 frames)
- Accidents | frames 2854–2855 (2 frames)
- Politics | frames 2901–2903 (3 frames)
- Politics | frames 2905–2906 (2 frames)
- Justice/Crime | frames 2909–2910 (2 frames)
- Justice/Crime | frames 2914–2915 (2 frames)
- Politics | frames 2937–2938 (2 frames)
- Politics | frames 2955–2956 (2 frames)
- Other | frames 2961–2965 (5 frames)
- Politics | frames 2970–2971 (2 frames)
- Other | frames 2975–2978 (4 frames)
- Justice/Crime | frames 2984–2985 (2 frames)
- Politics | frames 2992–2996 (5 frames)
- Politics | frames 2999–3001 (3 frames)
- Politics | frames 3003–3004 (2 frames)
- Justice/Crime | frames 3009–3010 (2 frames)
- Other | frames 3016–3019 (4 frames)
- Health | frames 3039–3040 (2 frames)
- Politics | frames 3070–3072 (3 frames)
- Justice/Crime | frames 3081–3082 (2 frames)
- Politics | frames 3088–3089 (2 frames)
- Politics | frames 3094–3097 (4 frames)
- Politics | frames 3102–3103 (2 frames)
- Politics | frames 3128–3130 (3 frames)
- Politics | frames 3133–3134 (2 frames)
