
==============================
Topic Block Report: Telejornal_TVI_Dec_2
==============================

Total segments after smoothing: 644
Total frames: 2079

Segments:
- Politics | frames 0–3 (4 frames)
- Politics | frames 5–7 (3 frames)
- Politics | frames 18–19 (2 frames)
- Politics | frames 23–24 (2 frames)
- Politics | frames 29–33 (5 frames)
- Politics | frames 35–37 (3 frames)
- Politics | frames 41–42 (2 frames)
- Politics | frames 44–45 (2 frames)
- Politics | frames 51–52 (2 frames)
- Politics | frames 55–58 (4 frames)
- Politics | frames 60–64 (5 frames)
- Politics | frames 66–69 (4 frames)
- Politics | frames 79–80 (2 frames)
- Health | frames 88–89 (2 frames)
- Politics | frames 92–93 (2 frames)
- Politics | frames 103–104 (2 frames)
- Politics | frames 106–108 (3 frames)
- Politics | frames 110–112 (3 frames)
- Politics | frames 124–125 (2 frames)
- Politics | frames 127–128 (2 frames)
- Politics | frames 133–134 (2 frames)
- Politics | frames 136–140 (5 frames)
- Politics | frames 159–160 (2 frames)
- Politics | frames 167–168 (2 frames)
- International | frames 170–171 (2 frames)
- Politics | frames 176–177 (2 frames)
- Health | frames 178–179 (2 frames)
- Politics | frames 184–188 (5 frames)
- Politics | frames 193–194 (2 frames)
- Politics | frames 196–197 (2 frames)
- Politics | frames 212–213 (2 frames)
- Politics | frames 215–217 (3 frames)
- Politics | frames 221–223 (3 frames)
- Politics | frames 225–227 (3 frames)
- Politics | frames 232–234 (3 frames)
- Politics | frames 237–244 (8 frames)
- Politics | frames 247–248 (2 frames)
- Politics | frames 251–254 (4 frames)
- Politics | frames 258–260 (3 frames)
- Politics | frames 274–275 (2 frames)
- Politics | frames 280–282 (3 frames)
- Politics | frames 290–291 (2 frames)
- Politics | frames 297–299 (3 frames)
- Politics | frames 301–302 (2 frames)
- Politics | frames 304–306 (3 frames)
- Politics | frames 308–309 (2 frames)
- Politics | frames 316–318 (3 frames)
- Politics | frames 323–325 (3 frames)
- Politics | frames 329–331 (3 frames)
- Politics | frames 335–336 (2 frames)
- Politics | frames 340–341 (2 frames)
- Justice/Crime | frames 342–343 (2 frames)
- Politics | frames 346–348 (3 frames)
- Politics | frames 351–352 (2 frames)
- Politics | frames 357–359 (3 frames)
- Politics | frames 362–363 (2 frames)
- Politics | frames 366–367 (2 frames)
- Politics | frames 378–379 (2 frames)
- Politics | frames 382–384 (3 frames)
- Politics | frames 386–388 (3 frames)
- Politics | frames 392–399 (8 frames)
- Politics | frames 401–402 (2 frames)
- Politics | frames 408–409 (2 frames)
- Politics | frames 419–421 (3 frames)
- Politics | frames 424–427 (4 frames)
- Politics | frames 430–437 (8 frames)
- Politics | frames 442–446 (5 frames)
- Politics | frames 448–451 (4 frames)
- Politics | frames 455–458 (4 frames)
- Politics | frames 460–462 (3 frames)
- Politics | frames 470–475 (6 frames)
- Politics | frames 481–484 (4 frames)
- Politics | frames 487–490 (4 frames)
- Politics | frames 494–496 (3 frames)
- Politics | frames 498–500 (3 frames)
- Politics | frames 503–505 (3 frames)
- Politics | frames 507–508 (2 frames)
- Politics | frames 511–512 (2 frames)
- Politics | frames 515–520 (6 frames)
- Politics | frames 527–528 (2 frames)
- Politics | frames 555–557 (3 frames)
- International | frames 559–560 (2 frames)
- Politics | frames 570–571 (2 frames)
- Politics | frames 581–582 (2 frames)
- Politics | frames 584–589 (6 frames)
- Politics | frames 606–607 (2 frames)
- Politics | frames 619–623 (5 frames)
- Politics | frames 632–636 (5 frames)
- Politics | frames 646–648 (3 frames)
- Politics | frames 655–656 (2 frames)
- Politics | frames 659–663 (5 frames)
- Politics | frames 693–694 (2 frames)
- Justice/Crime | frames 703–704 (2 frames)
- Politics | frames 729–730 (2 frames)
- Politics | frames 732–736 (5 frames)
- Politics | frames 739–740 (2 frames)
- Health | frames 742–743 (2 frames)
- Politics | frames 747–749 (3 frames)
- Politics | frames 753–754 (2 frames)
- Politics | frames 758–759 (2 frames)
- Politics | frames 773–774 (2 frames)
- Politics | frames 778–780 (3 frames)
- Politics | frames 789–792 (4 frames)
- Politics | frames 794–797 (4 frames)
- Politics | frames 800–801 (2 frames)
- Politics | frames 819–822 (4 frames)
- Politics | frames 828–829 (2 frames)
- Politics | frames 831–835 (5 frames)
- Politics | frames 837–838 (2 frames)
- Politics | frames 841–843 (3 frames)
- Politics | frames 849–850 (2 frames)
- Accidents | frames 851–852 (2 frames)
- Politics | frames 854–855 (2 frames)
- Politics | frames 867–868 (2 frames)
- Politics | frames 870–871 (2 frames)
- Politics | frames 875–876 (2 frames)
- Politics | frames 883–885 (3 frames)
- Politics | frames 888–893 (6 frames)
- Politics | frames 897–901 (5 frames)
