
==============================
Topic Block Report: Telejornal_RTP_Nov_20
==============================

Total segments after smoothing: 212
Total frames: 514

Segments:
- Politics | frames 4–7 (4 frames)
- Politics | frames 23–24 (2 frames)
- Politics | frames 54–55 (2 frames)
- Politics | frames 61–62 (2 frames)
- Politics | frames 67–69 (3 frames)
- Labor | frames 72–73 (2 frames)
- Politics | frames 97–100 (4 frames)
- Politics | frames 108–109 (2 frames)
- Accidents | frames 113–114 (2 frames)
- Labor | frames 118–119 (2 frames)
- Politics | frames 124–125 (2 frames)
- Politics | frames 128–131 (4 frames)
- Politics | frames 133–134 (2 frames)
- Economy | frames 139–140 (2 frames)
- Other | frames 143–146 (4 frames)
- Politics | frames 188–192 (5 frames)
- Politics | frames 197–198 (2 frames)
- Politics | frames 211–213 (3 frames)
- Economy | frames 227–228 (2 frames)
- Politics | frames 260–263 (4 frames)
- International | frames 272–273 (2 frames)
- Politics | frames 285–286 (2 frames)
- Labor | frames 296–297 (2 frames)
- Politics | frames 301–304 (4 frames)
- Politics | frames 315–316 (2 frames)
- Politics | frames 330–331 (2 frames)
- Economy | frames 335–336 (2 frames)
- Politics | frames 360–361 (2 frames)
- Politics | frames 367–368 (2 frames)
- Politics | frames 380–382 (3 frames)
- Politics | frames 430–431 (2 frames)
- Labor | frames 478–479 (2 frames)
- International | frames 510–511 (2 frames)
- Politics | frames 517–518 (2 frames)
- Politics | frames 537–538 (2 frames)
- Politics | frames 548–550 (3 frames)
- Politics | frames 557–558 (2 frames)
- Accidents | frames 561–562 (2 frames)
- Politics | frames 616–617 (2 frames)
- Politics | frames 620–622 (3 frames)
- Politics | frames 632–633 (2 frames)
- Politics | frames 640–641 (2 frames)
- International | frames 666–667 (2 frames)
- Politics | frames 668–669 (2 frames)
- Politics | frames 672–673 (2 frames)
- Labor | frames 682–683 (2 frames)
- Politics | frames 684–685 (2 frames)
- Politics | frames 689–691 (3 frames)
- Politics | frames 702–703 (2 frames)
- Politics | frames 718–719 (2 frames)
- Economy | frames 723–724 (2 frames)
- International | frames 758–759 (2 frames)
- International | frames 767–768 (2 frames)
- Politics | frames 769–770 (2 frames)
- Politics | frames 792–793 (2 frames)
- Politics | frames 795–796 (2 frames)
- Politics | frames 809–811 (3 frames)
- Accidents | frames 819–820 (2 frames)
- Politics | frames 823–824 (2 frames)
- Politics | frames 831–834 (4 frames)
- International | frames 866–867 (2 frames)
- Politics | frames 902–903 (2 frames)
- Accidents | frames 904–905 (2 frames)
- Politics | frames 911–912 (2 frames)
- Politics | frames 914–915 (2 frames)
- Politics | frames 923–924 (2 frames)
- Justice/Crime | frames 925–927 (3 frames)
- Accidents | frames 928–929 (2 frames)
- Politics | frames 937–939 (3 frames)
- Politics | frames 945–946 (2 frames)
- Labor | frames 952–953 (2 frames)
- Politics | frames 964–966 (3 frames)
- Justice/Crime | frames 970–972 (3 frames)
- Politics | frames 984–987 (4 frames)
- Politics | frames 990–991 (2 frames)
- Justice/Crime | frames 998–1001 (4 frames)
- Labor | frames 1003–1004 (2 frames)
- Politics | frames 1006–1007 (2 frames)
- Politics | frames 1010–1011 (2 frames)
- Politics | frames 1023–1024 (2 frames)
- Politics | frames 1060–1063 (4 frames)
- Accidents | frames 1073–1074 (2 frames)
- Labor | frames 1093–1094 (2 frames)
- Labor | frames 1116–1117 (2 frames)
- Accidents | frames 1129–1130 (2 frames)
- Politics | frames 1148–1149 (2 frames)
- Politics | frames 1155–1158 (4 frames)
- Accidents | frames 1177–1178 (2 frames)
- Politics | frames 1187–1188 (2 frames)
- Politics | frames 1194–1195 (2 frames)
- Labor | frames 1198–1199 (2 frames)
- International | frames 1220–1221 (2 frames)
- Justice/Crime | frames 1230–1231 (2 frames)
- Politics | frames 1250–1252 (3 frames)
- Politics | frames 1256–1257 (2 frames)
- Politics | frames 1268–1269 (2 frames)
- Justice/Crime | frames 1308–1309 (2 frames)
- Other | frames 1345–1348 (4 frames)
- Politics | frames 1355–1356 (2 frames)
- Politics | frames 1360–1362 (3 frames)
- Economy | frames 1368–1369 (2 frames)
- Economy | frames 1377–1379 (3 frames)
- Labor | frames 1381–1382 (2 frames)
- Other | frames 1399–1402 (4 frames)
- Accidents | frames 1408–1409 (2 frames)
- Justice/Crime | frames 1417–1418 (2 frames)
- Justice/Crime | frames 1422–1423 (2 frames)
- Politics | frames 1428–1430 (3 frames)
- Labor | frames 1433–1434 (2 frames)
- Politics | frames 1446–1447 (2 frames)
- Politics | frames 1450–1451 (2 frames)
- Labor | frames 1453–1454 (2 frames)
- Politics | frames 1462–1464 (3 frames)
- Politics | frames 1471–1472 (2 frames)
- Politics | frames 1480–1482 (3 frames)
- Accidents | frames 1506–1507 (2 frames)
- Politics | frames 1509–1510 (2 frames)
- Politics | frames 1525–1526 (2 frames)
- Politics | frames 1545–1547 (3 frames)
- Politics | frames 1572–1573 (2 frames)
- Politics | frames 1594–1597 (4 frames)
- Labor | frames 1608–1609 (2 frames)
- International | frames 1628–1629 (2 frames)
- Politics | frames 1631–1632 (2 frames)
- Economy | frames 1638–1640 (3 frames)
- Politics | frames 1653–1654 (2 frames)
- Politics | frames 1665–1666 (2 frames)
- Accidents | frames 1667–1668 (2 frames)
- Economy | frames 1673–1674 (2 frames)
- Politics | frames 1677–1678 (2 frames)
- Labor | frames 1688–1689 (2 frames)
- Politics | frames 1696–1697 (2 frames)
- Politics | frames 1706–1708 (3 frames)
- Politics | frames 1723–1725 (3 frames)
- Labor | frames 1726–1727 (2 frames)
- Health | frames 1733–1734 (2 frames)
- International | frames 1784–1785 (2 frames)
- Politics | frames 1817–1819 (3 frames)
- Politics | frames 1823–1825 (3 frames)
- Politics | frames 1837–1838 (2 frames)
- International | frames 1853–1854 (2 frames)
- Politics | frames 1855–1856 (2 frames)
- Politics | frames 1859–1860 (2 frames)
- Accidents | frames 1861–1862 (2 frames)
- Politics | frames 1864–1868 (5 frames)
- Politics | frames 1871–1872 (2 frames)
- Accidents | frames 1887–1888 (2 frames)
- International | frames 1895–1896 (2 frames)
- Politics | frames 1900–1902 (3 frames)
- Politics | frames 1905–1907 (3 frames)
- Politics | frames 1911–1912 (2 frames)
- Labor | frames 1929–1930 (2 frames)
- Politics | frames 1968–1969 (2 frames)
- Politics | frames 1985–1986 (2 frames)
- Politics | frames 1992–1993 (2 frames)
- Politics | frames 2007–2008 (2 frames)
- Labor | frames 2027–2028 (2 frames)
- Politics | frames 2035–2037 (3 frames)
- Justice/Crime | frames 2044–2045 (2 frames)
- Politics | frames 2054–2057 (4 frames)
- Politics | frames 2063–2067 (5 frames)
- Politics | frames 2076–2077 (2 frames)
- Labor | frames 2082–2083 (2 frames)
- Justice/Crime | frames 2092–2093 (2 frames)
- Politics | frames 2100–2106 (7 frames)
- Politics | frames 2121–2123 (3 frames)
- Labor | frames 2124–2125 (2 frames)
- Politics | frames 2134–2137 (4 frames)
- Politics | frames 2145–2146 (2 frames)
- Justice/Crime | frames 2157–2158 (2 frames)
- Politics | frames 2211–2212 (2 frames)
- Politics | frames 2216–2217 (2 frames)
- Politics | frames 2221–2222 (2 frames)
- Politics | frames 2224–2226 (3 frames)
- Politics | frames 2228–2229 (2 frames)
- Politics | frames 2239–2240 (2 frames)
- Politics | frames 2252–2253 (2 frames)
- Labor | frames 2256–2257 (2 frames)
- Politics | frames 2264–2266 (3 frames)
- Labor | frames 2283–2284 (2 frames)
- International | frames 2287–2288 (2 frames)
- Politics | frames 2304–2307 (4 frames)
- Politics | frames 2311–2312 (2 frames)
- Politics | frames 2332–2336 (5 frames)
- Labor | frames 2341–2342 (2 frames)
- Politics | frames 2350–2351 (2 frames)
- Politics | frames 2355–2358 (4 frames)
- Accidents | frames 2364–2365 (2 frames)
- Politics | frames 2375–2376 (2 frames)
- Justice/Crime | frames 2384–2385 (2 frames)
- Politics | frames 2396–2397 (2 frames)
- Labor | frames 2403–2404 (2 frames)
- Politics | frames 2408–2409 (2 frames)
- Politics | frames 2434–2437 (4 frames)
- Politics | frames 2447–2448 (2 frames)
- Politics | frames 2457–2459 (3 frames)
- Accidents | frames 2472–2473 (2 frames)
- Politics | frames 2483–2485 (3 frames)
- Politics | frames 2490–2491 (2 frames)
- Politics | frames 2495–2497 (3 frames)
- Politics | frames 2503–2504 (2 frames)
- Politics | frames 2508–2509 (2 frames)
- Justice/Crime | frames 2548–2549 (2 frames)
- Politics | frames 2561–2562 (2 frames)
- Politics | frames 2565–2567 (3 frames)
- International | frames 2571–2572 (2 frames)
- International | frames 2590–2591 (2 frames)
- Politics | frames 2603–2604 (2 frames)
- Politics | frames 2610–2611 (2 frames)
- International | frames 2614–2615 (2 frames)
- Politics | frames 2623–2624 (2 frames)
- Other | frames 2638–2641 (4 frames)

Topic block count (each block = 1 vote):
  Politics: 52
  Labor: 23
  Accidents: 15
  Economy: 7
  Other: 4
  International: 13
  Justice/Crime: 11
  Health: 1

Total frames per topic:
  Politics: 342 frames (66.5%)
  Labor: 48 frames (9.3%)
  Accidents: 30 frames (5.8%)
  Economy: 18 frames (3.5%)
  Other: 16 frames (3.1%)
  International: 30 frames (5.8%)
  Justice/Crime: 28 frames (5.4%)
  Health: 2 frames (0.4%)
