
==============================
Topic Block Report: Telejornal_RTP_Nov_10
==============================

Total segments after smoothing: 237
Total frames: 581

Segments:
- Politics | frames 1620–1621 (2 frames)
- Justice/Crime | frames 1622–1623 (2 frames)
- Politics | frames 1638–1640 (3 frames)
- Labor | frames 1652–1653 (2 frames)
- Politics | frames 1654–1655 (2 frames)
- Politics | frames 1657–1658 (2 frames)
- Labor | frames 1659–1660 (2 frames)
- Justice/Crime | frames 1665–1666 (2 frames)
- Politics | frames 1679–1680 (2 frames)
- Politics | frames 1690–1691 (2 frames)
- Justice/Crime | frames 1692–1694 (3 frames)
- Justice/Crime | frames 1701–1702 (2 frames)
- Politics | frames 1703–1706 (4 frames)
- Politics | frames 1716–1717 (2 frames)
- Justice/Crime | frames 1718–1721 (4 frames)
- Justice/Crime | frames 1726–1727 (2 frames)
- Justice/Crime | frames 1730–1731 (2 frames)
- Politics | frames 1738–1739 (2 frames)
- Justice/Crime | frames 1744–1745 (2 frames)
- Politics | frames 1759–1760 (2 frames)
- Justice/Crime | frames 1762–1763 (2 frames)
- Labor | frames 1777–1778 (2 frames)
- Politics | frames 1788–1789 (2 frames)
- Justice/Crime | frames 1799–1804 (6 frames)
- Justice/Crime | frames 1812–1813 (2 frames)
- Politics | frames 1817–1818 (2 frames)
- Labor | frames 1826–1827 (2 frames)
- Politics | frames 1839–1840 (2 frames)
- Politics | frames 1842–1845 (4 frames)
- Politics | frames 1848–1849 (2 frames)
- Politics | frames 1856–1857 (2 frames)
- Justice/Crime | frames 1861–1862 (2 frames)
- Politics | frames 1894–1896 (3 frames)
- Justice/Crime | frames 1898–1900 (3 frames)
- Justice/Crime | frames 1907–1908 (2 frames)
- Other | frames 1909–1912 (4 frames)
- Justice/Crime | frames 1913–1914 (2 frames)
- Politics | frames 1956–1957 (2 frames)
- Justice/Crime | frames 1966–1967 (2 frames)
- Politics | frames 1971–1974 (4 frames)
- Labor | frames 2004–2005 (2 frames)
- Politics | frames 2012–2013 (2 frames)
- Politics | frames 2020–2024 (5 frames)
- Politics | frames 2026–2027 (2 frames)
- Politics | frames 2031–2032 (2 frames)
- Politics | frames 2034–2035 (2 frames)
- Politics | frames 2065–2066 (2 frames)
- Justice/Crime | frames 2079–2080 (2 frames)
- Justice/Crime | frames 2105–2106 (2 frames)
- Justice/Crime | frames 2114–2115 (2 frames)
- Politics | frames 2123–2124 (2 frames)
- Politics | frames 2137–2140 (4 frames)
- Justice/Crime | frames 2149–2150 (2 frames)
- Justice/Crime | frames 2162–2163 (2 frames)
- Politics | frames 2166–2167 (2 frames)
- Politics | frames 2174–2175 (2 frames)
- Justice/Crime | frames 2201–2203 (3 frames)
- Justice/Crime | frames 2210–2211 (2 frames)
- Labor | frames 2222–2223 (2 frames)
- Politics | frames 2246–2247 (2 frames)
- Justice/Crime | frames 2249–2251 (3 frames)
- Labor | frames 2253–2254 (2 frames)
- Labor | frames 2258–2259 (2 frames)
- Justice/Crime | frames 2261–2262 (2 frames)
- Other | frames 2272–2275 (4 frames)
- Politics | frames 2280–2281 (2 frames)
- Politics | frames 2287–2289 (3 frames)
- Politics | frames 2293–2294 (2 frames)
- Other | frames 2325–2329 (5 frames)
- Politics | frames 2330–2332 (3 frames)
- Justice/Crime | frames 2348–2349 (2 frames)
- Justice/Crime | frames 2352–2353 (2 frames)
- Justice/Crime | frames 2375–2376 (2 frames)
- Politics | frames 2395–2396 (2 frames)
- Justice/Crime | frames 2430–2432 (3 frames)
- Justice/Crime | frames 2438–2439 (2 frames)
- Politics | frames 2441–2442 (2 frames)
- Politics | frames 2456–2459 (4 frames)
- Politics | frames 2461–2464 (4 frames)
- Politics | frames 2470–2471 (2 frames)
- Politics | frames 2480–2481 (2 frames)
- Labor | frames 2486–2487 (2 frames)
- Justice/Crime | frames 2495–2496 (2 frames)
- Politics | frames 2499–2500 (2 frames)
- Justice/Crime | frames 2523–2524 (2 frames)
- Justice/Crime | frames 2539–2540 (2 frames)

Topic block count (each block = 1 vote):
  Politics: 60
  Justice/Crime: 51
  Labor: 31
  Other: 11

Total frames per topic:
  Politics: 287 frames (49.4%)
  Justice/Crime: 173 frames (29.8%)
  Labor: 71 frames (12.2%)
  Other: 50 frames (8.6%)
