
==============================
Topic Block Report: Telejornal_RTP_Jan_13
==============================

Total segments after smoothing: 265
Total frames: 763

Segments:
- Politics | frames 0–1 (2 frames)
- Politics | frames 12–14 (3 frames)
- Politics | frames 19–20 (2 frames)
- Politics | frames 24–25 (2 frames)
- Politics | frames 29–30 (2 frames)
- Politics | frames 34–35 (2 frames)
- Politics | frames 38–39 (2 frames)
- Politics | frames 42–43 (2 frames)
- Politics | frames 54–55 (2 frames)
- Politics | frames 65–67 (3 frames)
- Politics | frames 71–73 (3 frames)
- Politics | frames 101–102 (2 frames)
- Politics | frames 117–119 (3 frames)
- Politics | frames 135–138 (4 frames)
- Politics | frames 140–144 (5 frames)
- Politics | frames 146–147 (2 frames)
- Politics | frames 158–159 (2 frames)
- Politics | frames 161–164 (4 frames)
- Politics | frames 178–179 (2 frames)
- Health | frames 184–187 (4 frames)
- Politics | frames 201–205 (5 frames)
- Other | frames 208–211 (4 frames)
- Politics | frames 213–214 (2 frames)
- Labor | frames 231–232 (2 frames)
- Politics | frames 234–236 (3 frames)
- Politics | frames 238–239 (2 frames)
- Other | frames 246–249 (4 frames)
- Politics | frames 253–254 (2 frames)
- Politics | frames 273–274 (2 frames)
- Politics | frames 279–280 (2 frames)
- Other | frames 286–292 (7 frames)
- Health | frames 297–298 (2 frames)
- Health | frames 303–304 (2 frames)
- Politics | frames 306–307 (2 frames)
- Health | frames 310–311 (2 frames)
- Other | frames 312–315 (4 frames)
- Politics | frames 322–324 (3 frames)
- Politics | frames 333–334 (2 frames)
- Politics | frames 350–353 (4 frames)
- Politics | frames 367–368 (2 frames)
- Politics | frames 377–379 (3 frames)
- Politics | frames 382–384 (3 frames)
- Politics | frames 386–387 (2 frames)
- Politics | frames 398–402 (5 frames)
- Society | frames 410–411 (2 frames)
- Politics | frames 415–419 (5 frames)
- Justice/Crime | frames 423–424 (2 frames)
- Other | frames 430–436 (7 frames)
- Politics | frames 441–442 (2 frames)
- Politics | frames 446–450 (5 frames)
- Health | frames 452–453 (2 frames)
- Politics | frames 457–459 (3 frames)
- Politics | frames 471–472 (2 frames)
- Politics | frames 474–476 (3 frames)
- Politics | frames 479–480 (2 frames)
- Politics | frames 518–520 (3 frames)
- Politics | frames 538–539 (2 frames)
- Politics | frames 541–542 (2 frames)
- Politics | frames 545–548 (4 frames)
- Politics | frames 552–554 (3 frames)
- Politics | frames 559–560 (2 frames)
- Politics | frames 593–598 (6 frames)
- Politics | frames 601–602 (2 frames)
- Politics | frames 659–662 (4 frames)
- Politics | frames 679–682 (4 frames)
- Politics | frames 688–690 (3 frames)
- Politics | frames 701–705 (5 frames)
- Politics | frames 710–716 (7 frames)
- Politics | frames 721–722 (2 frames)
- Politics | frames 745–746 (2 frames)
- Politics | frames 762–764 (3 frames)
- Politics | frames 772–773 (2 frames)
- Politics | frames 776–777 (2 frames)
- Politics | frames 779–780 (2 frames)
- Politics | frames 791–792 (2 frames)
- Politics | frames 804–805 (2 frames)
- Politics | frames 816–819 (4 frames)
- Other | frames 823–827 (5 frames)
- Politics | frames 837–839 (3 frames)
- Politics | frames 843–848 (6 frames)
- Health | frames 857–858 (2 frames)
- Politics | frames 878–879 (2 frames)
- Politics | frames 905–906 (2 frames)
- Politics | frames 922–924 (3 frames)
- Politics | frames 932–934 (3 frames)
- Politics | frames 953–956 (4 frames)
- Politics | frames 967–968 (2 frames)
- Politics | frames 970–971 (2 frames)
- Politics | frames 978–979 (2 frames)
- Politics | frames 981–982 (2 frames)
- Politics | frames 986–987 (2 frames)
- Politics | frames 993–994 (2 frames)
- Politics | frames 1001–1002 (2 frames)
- Politics | frames 1012–1013 (2 frames)
- Other | frames 1014–1017 (4 frames)
- Politics | frames 1033–1034 (2 frames)
- Politics | frames 1058–1061 (4 frames)
- Politics | frames 1072–1076 (5 frames)
- Politics | frames 1078–1079 (2 frames)
- Politics | frames 1081–1082 (2 frames)
- Politics | frames 1107–1108 (2 frames)
- Politics | frames 1116–1118 (3 frames)
- Politics | frames 1138–1139 (2 frames)
- Politics | frames 1142–1143 (2 frames)
- Politics | frames 1146–1149 (4 frames)
- Politics | frames 1199–1200 (2 frames)
- Politics | frames 1208–1209 (2 frames)
- Politics | frames 1220–1222 (3 frames)
- Politics | frames 1225–1228 (4 frames)
- Politics | frames 1241–1243 (3 frames)
- Politics | frames 1247–1248 (2 frames)
- Other | frames 1272–1275 (4 frames)
- Politics | frames 1276–1279 (4 frames)
- Politics | frames 1281–1282 (2 frames)
- Politics | frames 1284–1286 (3 frames)
- Politics | frames 1299–1302 (4 frames)
- Politics | frames 1326–1328 (3 frames)
- Politics | frames 1330–1331 (2 frames)
- Politics | frames 1334–1335 (2 frames)
- Other | frames 1337–1340 (4 frames)
- Politics | frames 1341–1342 (2 frames)
- Other | frames 1358–1361 (4 frames)
- Politics | frames 1373–1374 (2 frames)
- Politics | frames 1382–1383 (2 frames)
- Politics | frames 1387–1388 (2 frames)
- Politics | frames 1390–1391 (2 frames)
- Politics | frames 1400–1401 (2 frames)
- International | frames 1402–1403 (2 frames)
- Politics | frames 1411–1413 (3 frames)
- Politics | frames 1444–1446 (3 frames)
- Politics | frames 1455–1456 (2 frames)
- Politics | frames 1464–1466 (3 frames)
- Politics | frames 1476–1477 (2 frames)
- Politics | frames 1487–1489 (3 frames)
- Politics | frames 1504–1505 (2 frames)
- Politics | frames 1530–1531 (2 frames)
- Politics | frames 1540–1541 (2 frames)
- Politics | frames 1543–1546 (4 frames)
- Politics | frames 1567–1569 (3 frames)
- Other | frames 1570–1574 (5 frames)
- Politics | frames 1579–1583 (5 frames)
- Politics | frames 1592–1593 (2 frames)
- Politics | frames 1622–1627 (6 frames)
- Politics | frames 1642–1643 (2 frames)
- Politics | frames 1647–1648 (2 frames)
- Politics | frames 1654–1659 (6 frames)
- Politics | frames 1661–1662 (2 frames)
- Politics | frames 1671–1672 (2 frames)
- Politics | frames 1686–1688 (3 frames)
- Politics | frames 1690–1691 (2 frames)
- Politics | frames 1701–1703 (3 frames)
- Politics | frames 1729–1730 (2 frames)
- Politics | frames 1747–1751 (5 frames)
- Politics | frames 1759–1761 (3 frames)
- Health | frames 1783–1786 (4 frames)
