
==============================
Topic Block Report: Telejornal_TVI_Jan_11
==============================

Total segments after smoothing: 285
Total frames: 746

Segments:
- Politics | frames 2155–2156 (2 frames)
- Politics | frames 2177–2178 (2 frames)
- Other | frames 2184–2187 (4 frames)
- Politics | frames 2195–2197 (3 frames)
- Justice/Crime | frames 2210–2211 (2 frames)
- Politics | frames 2215–2216 (2 frames)
- Justice/Crime | frames 2221–2222 (2 frames)
- Politics | frames 2240–2241 (2 frames)
- Politics | frames 2255–2259 (5 frames)
- Politics | frames 2275–2277 (3 frames)
- Politics | frames 2306–2307 (2 frames)
- Sports | frames 2312–2313 (2 frames)
- Politics | frames 2352–2354 (3 frames)
- Politics | frames 2364–2366 (3 frames)
- Politics | frames 2370–2371 (2 frames)
- Politics | frames 2373–2374 (2 frames)
- International | frames 2380–2381 (2 frames)
- Politics | frames 2389–2390 (2 frames)
- Politics | frames 2396–2398 (3 frames)
- Politics | frames 2423–2425 (3 frames)
- Politics | frames 2464–2465 (2 frames)
- Politics | frames 2478–2480 (3 frames)
- Politics | frames 2484–2485 (2 frames)
- International | frames 2486–2487 (2 frames)
- Politics | frames 2500–2501 (2 frames)
- Politics | frames 2522–2523 (2 frames)
- Politics | frames 2533–2536 (4 frames)
- Politics | frames 2538–2539 (2 frames)
- Justice/Crime | frames 2619–2620 (2 frames)
- International | frames 2630–2631 (2 frames)
- International | frames 2635–2636 (2 frames)
- International | frames 2649–2650 (2 frames)
- Other | frames 2658–2661 (4 frames)
- Politics | frames 2675–2676 (2 frames)
- Politics | frames 2678–2679 (2 frames)
- Politics | frames 2681–2682 (2 frames)
- Politics | frames 2692–2693 (2 frames)
- Justice/Crime | frames 2698–2699 (2 frames)
- Politics | frames 2712–2717 (6 frames)
- Politics | frames 2738–2739 (2 frames)
- Politics | frames 2763–2764 (2 frames)
- International | frames 2785–2786 (2 frames)
- Politics | frames 2799–2800 (2 frames)
- Justice/Crime | frames 2812–2813 (2 frames)
- Politics | frames 2823–2824 (2 frames)
- Politics | frames 2826–2827 (2 frames)
- Politics | frames 2869–2871 (3 frames)
- International | frames 2892–2893 (2 frames)
- Politics | frames 2908–2909 (2 frames)
- Politics | frames 2911–2912 (2 frames)
- Politics | frames 2923–2924 (2 frames)
- Politics | frames 2926–2927 (2 frames)
- Politics | frames 2940–2947 (8 frames)
- Politics | frames 2975–2976 (2 frames)
- International | frames 3026–3028 (3 frames)
- Politics | frames 3040–3042 (3 frames)
- Politics | frames 3050–3051 (2 frames)
- Politics | frames 3061–3062 (2 frames)
- Politics | frames 3082–3084 (3 frames)
- Accidents | frames 3085–3086 (2 frames)
- International | frames 3124–3125 (2 frames)
- Justice/Crime | frames 3138–3139 (2 frames)
- Politics | frames 3152–3156 (5 frames)
- International | frames 3161–3162 (2 frames)
- Politics | frames 3165–3166 (2 frames)
- International | frames 3167–3168 (2 frames)
- Other | frames 3169–3172 (4 frames)
- Other | frames 3178–3181 (4 frames)
- Politics | frames 3183–3184 (2 frames)
- Politics | frames 3191–3192 (2 frames)
- Other | frames 3194–3197 (4 frames)
- Other | frames 3217–3220 (4 frames)
- Justice/Crime | frames 3230–3231 (2 frames)
- Politics | frames 3237–3238 (2 frames)
- Politics | frames 3244–3245 (2 frames)
- Politics | frames 3260–3261 (2 frames)
- Justice/Crime | frames 3266–3267 (2 frames)
- Politics | frames 3280–3282 (3 frames)
- Politics | frames 3300–3302 (3 frames)
- Politics | frames 3308–3309 (2 frames)
- Politics | frames 3311–3312 (2 frames)
- Politics | frames 3357–3358 (2 frames)
- Politics | frames 3393–3394 (2 frames)
- Other | frames 3397–3400 (4 frames)
- Other | frames 3428–3431 (4 frames)
- Politics | frames 3433–3434 (2 frames)
- Politics | frames 3436–3438 (3 frames)
- Politics | frames 3441–3444 (4 frames)
