
==============================
Topic Block Report: Telejornal_RTP_Dec_2
==============================

Total segments after smoothing: 342
Total frames: 969

Segments:
- Politics | frames 1373–1374 (2 frames)
- Politics | frames 1380–1381 (2 frames)
- Politics | frames 1385–1387 (3 frames)
- Politics | frames 1391–1393 (3 frames)
- Politics | frames 1400–1401 (2 frames)
- International | frames 1402–1403 (2 frames)
- International | frames 1415–1417 (3 frames)
- Politics | frames 1418–1420 (3 frames)
- Politics | frames 1426–1427 (2 frames)
- Politics | frames 1433–1434 (2 frames)
- International | frames 1441–1442 (2 frames)
- Politics | frames 1451–1452 (2 frames)
- Politics | frames 1459–1461 (3 frames)
- Politics | frames 1475–1480 (6 frames)
- Labor | frames 1488–1489 (2 frames)
- Politics | frames 1492–1494 (3 frames)
- Politics | frames 1499–1501 (3 frames)
- Politics | frames 1503–1505 (3 frames)
- Politics | frames 1513–1514 (2 frames)
- Politics | frames 1517–1522 (6 frames)
- Politics | frames 1530–1531 (2 frames)
- Health | frames 1533–1534 (2 frames)
- Politics | frames 1551–1553 (3 frames)
- Politics | frames 1561–1564 (4 frames)
- Politics | frames 1576–1579 (4 frames)
- Politics | frames 1583–1584 (2 frames)
- Politics | frames 1604–1605 (2 frames)
- Politics | frames 1611–1614 (4 frames)
- Politics | frames 1625–1626 (2 frames)
- Politics | frames 1640–1641 (2 frames)
- Politics | frames 1646–1647 (2 frames)
- International | frames 1649–1650 (2 frames)
- Politics | frames 1651–1652 (2 frames)
- Politics | frames 1654–1655 (2 frames)
- Politics | frames 1658–1661 (4 frames)
- Health | frames 1674–1675 (2 frames)
- Politics | frames 1678–1679 (2 frames)
- Politics | frames 1685–1686 (2 frames)
- Politics | frames 1690–1691 (2 frames)
- International | frames 1692–1693 (2 frames)
- Politics | frames 1698–1702 (5 frames)
- Politics | frames 1705–1708 (4 frames)
- Politics | frames 1723–1725 (3 frames)
- Politics | frames 1731–1732 (2 frames)
- Justice/Crime | frames 1735–1736 (2 frames)
- Politics | frames 1743–1746 (4 frames)
- Politics | frames 1752–1753 (2 frames)
- Politics | frames 1763–1764 (2 frames)
- Politics | frames 1767–1768 (2 frames)
- Politics | frames 1774–1776 (3 frames)
- Politics | frames 1782–1787 (6 frames)
- Politics | frames 1798–1799 (2 frames)
- Politics | frames 1801–1804 (4 frames)
- Health | frames 1819–1821 (3 frames)
- Politics | frames 1825–1828 (4 frames)
- Politics | frames 1834–1835 (2 frames)
- Politics | frames 1842–1843 (2 frames)
- Health | frames 1846–1847 (2 frames)
- Politics | frames 1853–1857 (5 frames)
- Politics | frames 1860–1864 (5 frames)
- Politics | frames 1866–1867 (2 frames)
- Politics | frames 1872–1874 (3 frames)
- Politics | frames 1893–1895 (3 frames)
- International | frames 1897–1900 (4 frames)
- International | frames 1902–1903 (2 frames)
- Politics | frames 1908–1909 (2 frames)
- Politics | frames 1912–1914 (3 frames)
- Politics | frames 1925–1926 (2 frames)
- Politics | frames 1940–1941 (2 frames)
- Politics | frames 1943–1944 (2 frames)
- Politics | frames 1963–1964 (2 frames)
- Politics | frames 1970–1971 (2 frames)
- Politics | frames 1982–1983 (2 frames)
- International | frames 1984–1986 (3 frames)
- Politics | frames 1999–2000 (2 frames)
- International | frames 2015–2016 (2 frames)
- Politics | frames 2024–2027 (4 frames)
- Politics | frames 2031–2032 (2 frames)
- Health | frames 2033–2034 (2 frames)
- Politics | frames 2040–2041 (2 frames)
- Politics | frames 2044–2054 (11 frames)
- Politics | frames 2061–2064 (4 frames)
- Politics | frames 2069–2070 (2 frames)
- International | frames 2078–2080 (3 frames)
- Politics | frames 2093–2098 (6 frames)
- Politics | frames 2102–2104 (3 frames)
- Politics | frames 2107–2109 (3 frames)
- Politics | frames 2111–2114 (4 frames)
- Politics | frames 2118–2119 (2 frames)
- Politics | frames 2125–2127 (3 frames)
- International | frames 2139–2140 (2 frames)
- Health | frames 2148–2149 (2 frames)
- Politics | frames 2152–2154 (3 frames)
- Politics | frames 2168–2172 (5 frames)
- Politics | frames 2199–2202 (4 frames)
- Politics | frames 2213–2214 (2 frames)
- International | frames 2238–2240 (3 frames)
- Politics | frames 2243–2244 (2 frames)
- Politics | frames 2248–2252 (5 frames)
- Politics | frames 2257–2258 (2 frames)
- Politics | frames 2260–2261 (2 frames)
- Politics | frames 2263–2264 (2 frames)
- Politics | frames 2274–2275 (2 frames)
- Politics | frames 2285–2288 (4 frames)
- International | frames 2293–2295 (3 frames)
- Politics | frames 2308–2312 (5 frames)
- Politics | frames 2330–2336 (7 frames)
- Politics | frames 2379–2380 (2 frames)
- Politics | frames 2382–2384 (3 frames)
- International | frames 2386–2389 (4 frames)
- Politics | frames 2392–2395 (4 frames)
- International | frames 2400–2402 (3 frames)
- Politics | frames 2409–2410 (2 frames)
- International | frames 2412–2413 (2 frames)
- Politics | frames 2417–2418 (2 frames)
- International | frames 2419–2420 (2 frames)
- Politics | frames 2422–2427 (6 frames)
- Politics | frames 2434–2435 (2 frames)
- International | frames 2436–2437 (2 frames)
- Politics | frames 2444–2446 (3 frames)
- Politics | frames 2466–2467 (2 frames)
- Politics | frames 2488–2491 (4 frames)
- International | frames 2495–2496 (2 frames)
- Politics | frames 2509–2510 (2 frames)
- Politics | frames 2512–2518 (7 frames)
- International | frames 2526–2527 (2 frames)
- Politics | frames 2528–2531 (4 frames)
- Politics | frames 2533–2535 (3 frames)
- Politics | frames 2537–2538 (2 frames)
- Politics | frames 2541–2542 (2 frames)
- Politics | frames 2547–2548 (2 frames)
- Politics | frames 2554–2559 (6 frames)
- Politics | frames 2564–2565 (2 frames)
- Politics | frames 2570–2571 (2 frames)
- Politics | frames 2573–2574 (2 frames)
- Politics | frames 2577–2578 (2 frames)
- Politics | frames 2581–2583 (3 frames)
- Politics | frames 2589–2590 (2 frames)
- International | frames 2600–2601 (2 frames)
- Politics | frames 2602–2603 (2 frames)
- International | frames 2608–2609 (2 frames)
- Justice/Crime | frames 2610–2611 (2 frames)
- Politics | frames 2629–2630 (2 frames)
- Politics | frames 2633–2636 (4 frames)
- Politics | frames 2645–2646 (2 frames)
- Politics | frames 2657–2658 (2 frames)
- Politics | frames 2661–2662 (2 frames)
- Politics | frames 2665–2666 (2 frames)
- Justice/Crime | frames 2670–2671 (2 frames)
- International | frames 2685–2686 (2 frames)
- Politics | frames 2698–2699 (2 frames)
- International | frames 2700–2701 (2 frames)
- Politics | frames 2710–2711 (2 frames)
- Health | frames 2713–2714 (2 frames)
- Politics | frames 2718–2719 (2 frames)
- Politics | frames 2723–2726 (4 frames)
- Health | frames 2729–2731 (3 frames)
- Politics | frames 2736–2737 (2 frames)
- Politics | frames 2739–2740 (2 frames)
- Politics | frames 2743–2746 (4 frames)
- Politics | frames 2759–2761 (3 frames)
- Politics | frames 2763–2764 (2 frames)
- Justice/Crime | frames 2766–2769 (4 frames)
- Politics | frames 2770–2773 (4 frames)
- Politics | frames 2775–2782 (8 frames)
- Justice/Crime | frames 2789–2790 (2 frames)
- Politics | frames 2791–2792 (2 frames)
- Politics | frames 2806–2808 (3 frames)
- Politics | frames 2817–2819 (3 frames)
- Politics | frames 2825–2828 (4 frames)
- Labor | frames 2833–2834 (2 frames)
- Politics | frames 2839–2840 (2 frames)
- International | frames 2845–2846 (2 frames)
- Politics | frames 2849–2850 (2 frames)
- Politics | frames 2853–2854 (2 frames)
- Politics | frames 2856–2859 (4 frames)
- Politics | frames 2866–2867 (2 frames)
- Politics | frames 2880–2883 (4 frames)

Topic block count (each block = 1 vote):
  International: 49
  Politics: 66
  Health: 11
  Labor: 5
  Economy: 1
  Justice/Crime: 5

Total frames per topic:
  International: 139 frames (14.3%)
  Politics: 782 frames (80.7%)
  Health: 24 frames (2.5%)
  Labor: 10 frames (1.0%)
  Economy: 2 frames (0.2%)
  Justice/Crime: 12 frames (1.2%)
