
==============================
Topic Block Report: Telejornal_TVI_Dec_18
==============================

Total segments after smoothing: 280
Total frames: 803

Segments:
- Politics | frames 2381–2382 (2 frames)
- Other | frames 2396–2399 (4 frames)
- Politics | frames 2409–2410 (2 frames)
- Politics | frames 2431–2432 (2 frames)
- Justice/Crime | frames 2466–2467 (2 frames)
- Accidents | frames 2470–2471 (2 frames)
- Politics | frames 2477–2478 (2 frames)
- Justice/Crime | frames 2490–2491 (2 frames)
- Politics | frames 2498–2499 (2 frames)
- Politics | frames 2506–2507 (2 frames)
- Justice/Crime | frames 2524–2525 (2 frames)
- Politics | frames 2538–2539 (2 frames)
- Politics | frames 2545–2546 (2 frames)
- Other | frames 2547–2550 (4 frames)
- Other | frames 2552–2555 (4 frames)
- Politics | frames 2556–2557 (2 frames)
- Justice/Crime | frames 2564–2565 (2 frames)
- Politics | frames 2579–2580 (2 frames)
- Politics | frames 2609–2610 (2 frames)
- Politics | frames 2627–2628 (2 frames)
- Other | frames 2638–2641 (4 frames)
- Politics | frames 2645–2646 (2 frames)
- Politics | frames 2670–2671 (2 frames)
- Politics | frames 2675–2677 (3 frames)
- Politics | frames 2690–2691 (2 frames)
- Politics | frames 2712–2713 (2 frames)
- Justice/Crime | frames 2725–2726 (2 frames)
- Politics | frames 2740–2741 (2 frames)
- Sports | frames 2744–2745 (2 frames)
- Other | frames 2758–2762 (5 frames)
- Other | frames 2776–2780 (5 frames)
- Other | frames 2800–2806 (7 frames)
- Politics | frames 2811–2814 (4 frames)
- Other | frames 2821–2824 (4 frames)
- Justice/Crime | frames 2834–2835 (2 frames)
- Politics | frames 2841–2842 (2 frames)
- Politics | frames 2847–2848 (2 frames)
- Justice/Crime | frames 2864–2865 (2 frames)
- International | frames 2876–2877 (2 frames)
- Other | frames 2880–2883 (4 frames)
- Politics | frames 2908–2911 (4 frames)
- Politics | frames 2918–2921 (4 frames)
- Politics | frames 2952–2954 (3 frames)
- Other | frames 2957–2961 (5 frames)
- Justice/Crime | frames 2968–2969 (2 frames)
- Other | frames 2973–2976 (4 frames)
- Politics | frames 2978–2979 (2 frames)
- Other | frames 2980–2983 (4 frames)
- Politics | frames 2986–2987 (2 frames)
- Politics | frames 2990–2991 (2 frames)
- Politics | frames 2993–2994 (2 frames)
- Politics | frames 3019–3020 (2 frames)
- Politics | frames 3035–3038 (4 frames)
- Politics | frames 3058–3059 (2 frames)
- Politics | frames 3081–3083 (3 frames)
